LastName,FirstName,Team,OldTeam,GP,Pos,Age,GP,OZ,RQoC,RelC
Stuart,Colin,BUF,,,LW,29,2,55.6,2.144,-46.6
Whitmore,Derek,BUF,,,LW,27,2,62.5,0.002,49.3
Allen,Bryan,CAR,,,D,31,82,40.3,1.014,-2.6
Gleason,Tim,CAR,,,D,28,82,39.8,1.243,-2.8
Staal,Eric,CAR,,,C,28,82,50.1,0.826,6.6
Sutter,Brandon,CAR,,,C,22,82,34.8,1.379,-6.6
Brent,Tim,CAR,,,C,27,79,49,-0.782,-13.4
Jokinen,Jussi,CAR,,,LW,28,79,53.1,0.054,5.9
Tlusty,Jiri,CAR,,,C/LW,23,79,47.8,0.737,-6.2
Stewart,Anthony,CAR,,,RW/C,26,77,56.6,-0.714,-7.6
McBain,Jamie,CAR,,,D,23,76,51.5,-0.135,4.3
Dwyer,Patrick,CAR,,,RW,28,73,37.4,1.381,-5.1
Harrison,Jay,CAR,,,D,29,72,49.4,0.498,-1
Ruutu,Tuomo,CAR,,,C/RW/LW,28,72,53.6,0.17,1.8
LaRose,Chad,CAR,,,RW/LW,29,67,45,0.812,6.3
Faulk,Justin,CAR,,,D,19,66,52,0.567,-1.7
Skinner,Jeff,CAR,,,C/RW,19,64,55.1,0.12,9.2
Nodl*,Andreas,CAR,PHI,12,RW,24,60,44.1,1.117,-4.8
Spacek*,Jaroslav,CAR,MTL,12,D,37,46,58.4,-0.983,7.5
Joslin,Derek,CAR,,,D,24,44,59.8,-0.999,-6.5
Bowman,Drayson,CAR,,,LW/C,22,37,53.2,0.541,8.6
Pitkanen,Joni,CAR,,,D,28,30,49,0.67,-0.8
Samson,Jerome,CAR,,,RW,24,16,55.3,0.805,8.8
Dalpe,Zac,CAR,,,C,22,16,63,-0.298,-6.2
Boychuk,Zach,CAR,,,LW/C,22,16,55.8,-1.03,10.7
Sutter,Brett,CAR,,,LW/C,24,15,41.5,-1.047,-14.2
Nash,Riley,CAR,,,C,22,5,63,-0.696,-5.1
Sanguinetti,Bobby,CAR,,,D,24,3,50,-1.607,2
Welsh,Jeremy,CAR,,,C/LW,23,1,57.1,0.97,9.8
Johnson*,Jack,CBJ,LAK,61,D,24,82,47,0.78,-11.8
Nash,Rick,CBJ,,,RW/LW,27,82,52.9,1.132,-0.1
Prospal,Vinny,CBJ,,,LW,36,82,50.5,0.994,13.3
Dorsett,Derek,CBJ,,,RW,25,77,35,0.956,-6
Umberger,RJ,CBJ,,,LW/C,29,77,48.6,1.075,-0.8
Gillies*,Colton,CBJ,MIN,37,C/LW,22,75,39.3,-0.24,-9.7
Brassard,Derick,CBJ,,,C,24,74,50.7,0.462,0.3
Johansen,Ryan,CBJ,,,C,19,67,53,-0.371,5.1
Moore,John,CBJ,,,D,21,67,45.6,-0.067,-8.8
MacKenzie,Derek,CBJ,,,C,30,66,45.4,-0.471,-5.6
Tyutin,Fedor,CBJ,,,D,28,66,45.4,1.442,8.1
Letestu*,Mark,CBJ,PIT,11,C,26,62,47.9,0.344,9
Nikitin*,Nikita,CBJ,STL,7,D,25,61,43.9,1.234,8.1
Johnson,Aaron,CBJ,,,D,28,56,43.9,0.075,-1.7
Boll,Jared,CBJ,,,RW,25,54,49.3,-1.2,-6.6
Wisniewski,James,CBJ,,,D,27,48,48.1,1.247,-7.1
Methot,Marc,CBJ,,,D,26,46,46.1,0.92,-16.3
Russell,Ryan,CBJ,,,LW/C,24,41,39.1,0.314,-7.3
Boyce*,Darryl,CBJ,TOR,17,C,27,37,41.7,0.194,-11.3
Savard,David,CBJ,,,D,21,31,52.4,-1.132,5.1
Lebda,Brett,CBJ,,,D,29,30,43.7,0.076,6.9
Atkinson,Cam,CBJ,,,RW,22,27,46,1.125,11.7
Bass,Cody,CBJ,,,C,24,14,44.3,1.142,-18.9
Calvert,Matt,CBJ,,,LW,22,13,47.4,0.021,11.5
Mayorov,Maksim,CBJ,,,LW/RW,22,10,20.3,1.078,-6.9
Giroux,Alexandre,CBJ,,,LW/C,30,9,50,-0.321,6.2
Byers,Dane,CBJ,,,LW/C,25,8,48.4,-1.28,-5.7
Kubalik,Tomas,CBJ,,,RW,21,8,45.5,-0.712,-16.5
Martinek,Radek,CBJ,,,D,35,7,30.8,1.457,-10.8
Prout,Dalton,CBJ,,,D,22,5,37.5,0.623,5.5
Huselius,Kristian,CBJ,,,LW,33,2,62.5,1.244,17.1
Goloubef,Cody,CBJ,,,D,23,1,0,-1.168,-1.3
Joudrey,Andrew,CBJ,,,C,27,1,0,-4.075,6.6
Bouwmeester,Jay,CGY,,,D,28,82,45,1.672,-5.9
Iginla,Jarome,CGY,,,RW,34,82,49.7,1.591,-8.6
Jokinen,Olli,CGY,,,C,33,82,47.9,2.056,-6.3
Kostopoulos,Tom,CGY,,,RW,32,81,44.6,-1.173,2
Hannan,Scott,CGY,,,D,32,78,48.7,0.858,-10.8
Jackman,Tim,CGY,,,RW,30,75,49.3,-1.648,5.3
Comeau*,Blake,CGY,NYI,16,LW/RW,25,74,49.1,0.582,8.4
Butler,Chris,CGY,,,D,25,68,45.4,1.704,-4.2
Glencross,Curtis,CGY,,,LW/RW,29,67,49.9,2.198,-7.3
Cammalleri*,Mike,CGY,MTL,38,C/LW,29,66,52.1,1.207,-1.4
Tanguay,Alex,CGY,,,LW,32,64,49.6,1.122,-5.8
Sarich,Cory,CGY,,,D,33,62,47.8,-0.507,12
Giordano,Mark,CGY,,,D,28,61,51.2,1.071,1.1
Horak,Roman,CGY,,,C,20,61,50.3,-0.97,-1.7
Stajan,Matt,CGY,,,C,28,61,48,-0.509,4.8
Stempniak,Lee,CGY,,,RW/LW,28,61,49.4,0.437,10.5
Brodie,TJ,CGY,,,D,21,54,51.9,-1.318,17
Smith,Derek,CGY,,,D,27,47,50.4,-0.585,-1.3
Jones*,Blair,CGY,TBL,22,C,25,43,44.1,-0.185,0.6
Backlund,Mikael,CGY,,,C,22,41,44.6,1.249,11.7
Babchuk,Anton,CGY,,,D,27,32,50.7,-1.423,-2.8
Moss,David,CGY,,,RW/LW,30,32,47.9,2,10.3
Bouma,Lance,CGY,,,C,21,27,43.5,-0.341,-2.9
Byron,Paul,CGY,,,C,22,22,51.9,-2.098,-1.3
Kolanos,Krys,CGY,,,C,30,13,59.7,-1.443,26.4
Desbiens,Guillaume,CGY,,,RW,26,10,56.7,-2.067,-10
Nemisz,Greg,CGY,,,C,21,9,42.4,-2.378,3
Wilson,Clay,CGY,,,D,28,5,48.8,-1.263,16.6
Piskula,Joe,CGY,,,D,27,5,50,-2.339,-15.5
Baertschi,Sven,CGY,,,LW,20,5,28.6,-1.723,-7.1
Letourneau-Leblond,Pierre-Luc,CGY,,,RW/LW,26,3,66.7,-3.056,-14
Carson,Brett,CGY,,,D,26,2,52.6,-2.203,25.8
Aliu,Akim,CGY,,,RW,23,2,36.4,1.255,-6.5
Ivanans,Raitis,CGY,,,LW,32,1,66.7,-7.344,-48.9
Kane,Patrick,CHI,,,C/RW,23,82,66.3,0.565,7.3
Leddy,Nick,CHI,,,D,20,82,54.6,0.415,1
Hossa,Marian,CHI,,,RW,32,81,59,0.298,1.9
Mayers,Jamal,CHI,,,RW,37,81,45.8,-0.93,-9.9
Oduya*,Johnny,CHI,WPG,63,D,30,81,50.3,0.297,-4.5
Stalberg,Viktor,CHI,,,RW/LW,25,79,63.6,0.623,11.8
