LastName,FirstName,Team,OldTeam,GP,Pos,Age,GP,OZ,RQoC,RelC
Brodziak,Kyle,MIN,,,C,27,82,39.6,1.071,-1
Heatley,Dany,MIN,,,LW/RW,30,82,50.4,0.751,9.5
Powe,Darroll,MIN,,,C,26,82,40.3,0.387,-8.6
Johnson,Nick,MIN,,,RW,26,77,42.5,0.941,-0.3
Clutterbuck,Cal,MIN,,,RW,24,74,40.4,0.467,-3.3
Cullen,Matt,MIN,,,C,35,73,44.2,0.364,11.2
Spurgeon,Jared,MIN,,,D,22,70,45,0.794,2.5
Setoguchi,Devin,MIN,,,RW,24,69,50.6,0.513,13.7
Gilbert*,Tom,MIN,EDM,47,D,28,67,47.8,0.859,3.3
Scandella,Marco,MIN,,,D,21,63,43.8,0.963,-1.1
Peters,Warren,MIN,,,C/LW,29,58,36.8,-0.226,-11.9
Koivu,Mikko,MIN,,,C,28,55,48,0.593,6.1
Foster*,Kurtis,MIN,ANA, NJD,37,D,30,51,60.2,-0.596,-2.7
Prosser,Nate,MIN,,,D,25,51,38.6,0.248,-4
Stoner,Clayton,MIN,,,D,26,51,37.9,0.042,2.6
Christensen*,Erik,MIN,NYR,20,C,28,49,49.8,-0.793,-6.5
Falk,Justin,MIN,,,D,23,47,41.5,0.197,-8
Palmieri*,Nick,MIN,NJD,29,RW,22,38,48,-0.057,-6.9
Bouchard,Pierre-Marc,MIN,,,C/RW,27,37,51.9,-0.215,20.5
Ortmeyer,Jed,MIN,,,RW,33,35,39.8,-0.583,-9.9
Kassian,Matt,MIN,,,LW,25,24,54.5,-0.758,-2
Kampfer*,Steven,MIN,BOS,10,D,23,23,52,0.051,-7.3
Veilleux*,Stephane,MIN,NJD,1,LW,30,22,44.2,-0.498,-0.4
Lundin,Mike,MIN,,,D,27,17,40.4,0.888,-3.1
Latendresse,Guillaume,MIN,,,LW/RW,24,16,40.2,0.376,-4.7
Wellman,Casey,MIN,,,C,24,14,46.2,0.471,14
McMillan,Carson,MIN,,,RW,23,11,38.2,0.073,-22.8
Almond,Cody,MIN,,,C,22,10,46.9,0.504,-9.1
Rau,Chad,MIN,,,C,24,9,53.7,-0.135,-7.2
Bulmer,Brett,MIN,,,RW/LW,19,9,26.9,-0.465,-11.2
McIntyre,David,MIN,,,C,24,7,34.2,-0.694,-11.7
Palmer,Jarod,MIN,,,C/RW,25,6,51.1,1.067,8
Zucker,Jason,MIN,,,LW,20,6,51.7,-1.394,-21.1
Taffe,Jeff,MIN,,,LW,30,5,40,0.281,-2.5
Fredheim,Kris,MIN,,,D,24,3,36.4,-0.598,-51.8
Genoway,Chay,MIN,,,D,26,1,62.5,-1.947,-6.4
Cuma,Tyler,MIN,,,D,22,1,66.7,-3.083,40.8
Disalvatore,Jon,MIN,,,RW/LW,30,1,72.7,0.291,-31.3
Foucault,Kristopher,MIN,,,LW,21,1,33.3,-2.48,6.8
Cole,Erik,MTL,,,LW/RW,33,82,51.5,0.005,12
Gorges,Josh,MTL,,,D,27,82,44.5,1.411,-1.3
Desharnais,David,MTL,,,C,25,81,52.2,0.042,3.8
Plekanec,Tomas,MTL,,,C,29,81,42.8,0.905,-3.8
Subban,P.K.,MTL,,,D,22,81,46.3,1.266,6.3
Eller,Lars,MTL,,,C/LW,22,79,48.3,0.57,-0.8
Pacioretty,Max,MTL,,,LW,23,79,49.4,0.068,12.3
Bourque*,Rene,MTL,CGY,38,RW/LW,30,76,47.6,0.693,-5.9
Kaberle*,Tomas,MTL,CAR,29,D,33,72,53.1,-0.581,-0.6
Emelin,Alexei,MTL,,,D,25,67,47.5,-0.107,-0.1
Staubitz*,Brad,MTL,MIN,43,RW/LW,27,62,44.8,-0.998,-9.8
Darche,Mathieu,MTL,,,LW,35,61,51.6,-0.459,1.3
Weber,Yannick,MTL,,,D,23,60,56.5,-0.789,-9.2
Diaz,Raphael,MTL,,,D,25,59,47.3,0.101,-3.9
Nokelainen*,Petteri,MTL,PHX,5,C/RW,25,56,41.7,-1.055,-7
Moen,Travis,MTL,,,LW,29,48,43.8,0.793,-13.7
Campoli,Chris,MTL,,,D,27,43,48.3,-0.229,-2.4
Leblanc,Louis,MTL,,,C,20,42,48.5,-0.123,-1.1
Blunden,Mike,MTL,,,RW,25,39,38.2,-0.18,-12.6
Gomez,Scott,MTL,,,C,32,38,63.8,-0.129,9.4
Palushaj,Aaron,MTL,,,RW,22,38,48.5,-0.241,20
Geoffrion*,Blake,MTL,NSH,22,C/LW,23,35,40.8,-0.157,-6.4
Gionta,Brian,MTL,,,RW,32,31,43.9,0.752,0.7
White,Ryan,MTL,,,C/RW,23,20,40,1.304,-11.7
St-Denis,Frédéric,MTL,,,D,25,17,52.5,-0.807,5.4
Markov,Andrei,MTL,,,D,34,13,55.3,-0.172,15
Engqvist,Andreas,MTL,,,C,24,12,59.1,-0.707,-0.2
Dumont,Gabriel,MTL,,,C,22,3,75,-0.433,32.7
Fayne,Mark,NJD,,,D,24,82,49.9,0.787,1.6
Parise,Zach,NJD,,,LW,27,82,54.2,0.731,4.2
Ponikarovsky*,Alexei,NJD,CAR,49,LW,31,82,46.8,0.098,11.2
Salvador,Bryce,NJD,,,D,35,82,47.2,0.393,-8.7
Sykora,Petr,NJD,,,RW,35,82,49.3,1.129,7.6
Zubrus,Dainius,NJD,,,RW/C,33,82,49.5,0.999,4
Elias,Patrik,NJD,,,C/LW,35,81,51.5,1.404,5.7
Clarkson,David,NJD,,,RW,27,80,49.4,0.027,3.1
Kovalchuk,Ilya,NJD,,,LW/RW,28,77,56.2,0.533,4.1
Henrique,Adam,NJD,,,C,21,74,47.4,0.582,2
Carter*,Ryan,NJD,FLA,7,C,28,72,48.3,-0.575,-11.7
Volchenkov,Anton,NJD,,,D,29,72,47.6,0.238,1
Larsson,Adam,NJD,,,D,19,65,52.1,0.034,0.5
Zidlicky*,Marek,NJD,MIN,41,D,34,63,52.8,-0.093,7.9
Greene,Andy,NJD,,,D,29,56,52,0.664,-0.1
Boulton,Eric,NJD,,,LW,35,51,50.3,-1.485,-26
Janssen,Cam,NJD,,,RW,27,48,60.4,-2.393,-12.5
Tedenby,Mattias,NJD,,,RW/LW,21,43,50.7,-0.043,-4.9
Josefson,Jacob,NJD,,,C,20,41,55.1,-0.6,4.2
Tallinder,Henrik,NJD,,,D,32,39,46.8,0.701,3.1
Bernier,Steve,NJD,,,RW,26,32,47.7,-0.201,-11.1
Taormina,Matt,NJD,,,D,25,30,58.7,-0.357,3.3
Mills,Brad,NJD,,,C,28,27,56.4,-1.668,-9.7
Sestito,Tim,NJD,,,C/LW,27,18,48.5,-1.489,-8.7
Zajac,Travis,NJD,,,C,26,15,52.8,0.608,-3.8
Harrold,Peter,NJD,,,D,28,11,60,-0.409,5.2
Zalewski,Steven,NJD,,,C,25,7,59.5,-1.339,-1.2
Urbom,Alexander,NJD,,,D,21,5,51.4,-0.289,-3
Fraser,Mark,NJD,,,D,25,4,57.7,1.286,-16.3
Zharkov,Vladimir,NJD,,,RW,23,4,100,-0.637,44.2
Gionta,Stephen,NJD,,,RW/LW,29,1,40,-1.284,1.5
Suter,Ryan,NSH,,,D,26,79,45.7,1.262,7.3
Legwand,David,NSH,,,C,31,78,44.9,0.346,10.6
Weber,Shea,NSH,,,D,26,78,44.6,1.332,11.2
Spaling,Nick,NSH,,,LW/C,23,77,43.7,-0.444,-4
Tootoo,Jordin,NSH,,,RW,28,77,47.3,-0.711,-5.2
Gill*,Hal,NSH,MTL,53,D,36,76,44.3,-0.021,-8
Hornqvist,Patric,NSH,,,RW/LW,24,76,54.8,0.449,16.8
Kostitsyn,Sergei,NSH,,,LW/RW,24,75,49.1,1.383,-2
Halischuk,Matt,NSH,,,RW/C,23,73,48.3,-1,-10.6
Fisher,Mike,NSH,,,C,31,72,40.2,1.604,-10.5
Kostitsyn*,Andrei,NSH,MTL,53,LW/RW,26,72,53.5,0.377,-0.6
Smith,Craig,NSH,,,C,22,72,50.8,-0.306,3.4
Erat,Martin,NSH,,,RW/LW,30,71,41.2,1.561,-4.4
Gaustad*,Paul,NSH,BUF,56,C,29,70,33.4,0.588,-11.5
Wilson,Colin,NSH,,,C,22,68,49.9,-0.175,14.3
Bouillon,Francis,NSH,,,D,36,66,46.5,-0.352,-3.5
Klein,Kevin,NSH,,,D,27,66,41.8,-0.158,-6.7
Hillen,Jack,NSH,,,D,25,55,50.7,-1.067,-2.2
Josi,Roman,NSH,,,D,21,52,42.8,-0.489,-11.4
Bourque,Gabriel,NSH,,,LW,21,43,55.6,-0.346,4.5
Yip*,Brandon,NSH,COL,10,RW,26,35,46.1,-1.396,-14
Blum,Jonathon,NSH,,,D,22,33,44.4,-1.002,-7.7
Ellis,Ryan,NSH,,,D,20,32,59.5,-1.987,10.3
McGrattan,Brian,NSH,,,RW,30,30,51.8,-2.238,4.1
Bergfors,Niclas,NSH,,,RW/C,24,11,55.3,-1.838,-3.8
Laakso,Teemu,NSH,,,D,24,9,42.9,-1.464,-15.8
Radulov,Alexander,NSH,,,RW,25,9,46.5,-0.168,5.1
Wilson,Kyle,NSH,,,C,28,5,59.1,-1.016,-4
Mueller,Chris,NSH,,,C,25,4,60,-0.806,-3.2
Ekholm,Mattias,NSH,,,D,21,2,45.5,-5.07,28.7
Stortini,Zack,NSH,,,RW,26,1,50,2.017,15.4
Thang,Ryan,NSH,,,LW,24,1,100,1.382,39
Moulson,Matt,NYI,,,LW,28,82,58.7,0.543,6.3
Nielsen,Frans,NYI,,,C,27,82,43.8,0.869,4.4
Streit,Mark,NYI,,,D,34,82,53.7,0.601,10.5
Tavares,John,NYI,,,C,21,82,58.7,0.562,10.6
Bailey,Josh,NYI,,,C/LW,22,80,46.4,0.332,-4.8
Martin,Matt,NYI,,,LW,22,80,43.5,0.166,-5
Parenteau,PA,NYI,,,RW/C/LW,28,80,56.2,0.71,9.6
Okposo,Kyle,NYI,,,RW,23,79,48.8,0.416,4.2
Grabner,Michael,NYI,,,RW,24,78,42.3,0.888,-1.1
MacDonald,Andrew,NYI,,,D,25,75,47.9,0.628,-2.5
Hamonic,Travis,NYI,,,D,21,73,49.5,0.811,1.2
Jurcina,Milan,NYI,,,D,28,65,51.2,0.266,1.1
Staios,Steve,NYI,,,D,38,65,46.2,0.258,-4.7
Eaton,Mark,NYI,,,D,34,62,47.1,-0.212,-14.5
Pandolfo,Jay,NYI,,,LW,37,62,38.9,-0.311,-17.5
Reasoner,Marty,NYI,,,C,34,61,43.4,0.008,-11.7
Niederreiter,Nino,NYI,,,RW/LW,19,55,46,-0.047,-4.5
Ullstrom,David,NYI,,,LW/C,22,29,50.3,0.278,3.7
Reese,Dylan,NYI,,,D,27,28,48.6,0.347,7.3
Cizikas,Casey,NYI,,,C,20,15,43.5,0.48,-3.1
Haley,Micheal,NYI,,,LW/C,25,14,41.5,-0.496,-4.1
Ness,Aaron,NYI,,,D,21,9,51.5,-0.375,-8.7
Rakhshani,Rhett,NYI,,,RW,23,5,42.9,-0.278,-30.9
Donovan,Matt,NYI,,,D,22,3,43.5,1.166,-0.6
Gillies,Trevor,NYI,,,LW,32,3,75,-2.431,-46.3
de Haan,Calvin,NYI,,,D,20,1,71.4,0.761,51.9
Wishart,Ty,NYI,,,D,23,1,20,-0.481,-31.9
Boyle,Brian,NYR,,,C,27,82,28.8,0.446,0.9
Gaborik,Marian,NYR,,,RW/LW,29,82,63,0.495,1.3
Girardi,Dan,NYR,,,D,27,82,44.2,1.653,2.1
McDonagh,Ryan,NYR,,,D,22,82,42.8,1.707,3.5
Prust,Brandon,NYR,,,LW/C/RW,27,82,33.7,0.153,-7.9
Richards,Brad,NYR,,,C,31,82,54.4,0.973,1.6
Stepan,Derek,NYR,,,C,21,82,62.9,0.658,-1.8
Anisimov,Artem,NYR,,,C,23,79,52.7,0.508,2.9
Del Zotto,Michael,NYR,,,D,21,77,51.3,0.211,-1.1
Dubinsky,Brandon,NYR,,,C,25,77,41.8,0.852,8.8
Callahan,Ryan,NYR,,,RW,26,76,48.8,1.131,-2.2
Fedotenko,Ruslan,NYR,,,LW,32,73,36.5,0.816,-10
Hagelin,Carl,NYR,,,LW,23,64,52.6,0.691,10.3
Mitchell,John,NYR,,,C,26,63,45.7,-0.45,11.1
Rupp,Mike,NYR,,,C/LW,31,60,43.2,-1.279,-14.3
Stralman,Anton,NYR,,,D,25,53,51.6,-0.054,0.4
Bickel,Stu,NYR,,,D,25,51,51.9,-0.89,-2.5
Staal,Marc,NYR,,,D,24,46,50.9,0.011,-15.7
Eminger,Steve,NYR,,,D,28,42,50.8,-1.58,-3.4
Scott*,John,NYR,CHI,29,LW/D,29,35,63.6,-1.895,-0.8
Woywitka,Jeff,NYR,,,D,28,27,55.6,-2.348,11.5
Sauer,Michael,NYR,,,D,24,19,43.1,0.61,-1.3
Erixon,Tim,NYR,,,D,20,18,50.5,-1.552,-4.1
Avery,Sean,NYR,,,LW,31,15,57.1,-1.038,10.1
Zuccarello,Mats,NYR,,,LW/RW,24,10,45,-0.68,11.5
Deveaux,Andre,NYR,,,C/RW,27,9,37.9,-2.592,19
Newbury,Kris,NYR,,,C/LW,29,7,37.5,-1.646,-14.2
Bell,Brendan,NYR,,,D,28,1,100,-0.495,1.8
Cowen,Jared,OTT,,,D,20,82,56.8,-0.288,-2.5
Foligno,Nick,OTT,,,LW,24,82,53.7,-0.14,4.4
Greening,Colin,OTT,,,LW/C,25,82,57,0.433,-2.4
Condra,Erik,OTT,,,RW,25,81,50.3,-0.001,3.8
Karlsson,Erik,OTT,,,D,21,81,57.1,0.657,11.3
Smith,Zack,OTT,,,C,23,81,46.8,-0.035,-5.6
Phillips,Chris,OTT,,,D,33,80,49.7,-0.152,-8.2
Spezza,Jason,OTT,,,C,28,80,59.3,0.281,6
Michalek,Milan,OTT,,,LW,27,77,61.5,0.398,1.1
Alfredsson,Daniel,OTT,,,RW,39,75,58.3,0.28,13.4
Gonchar,Sergei,OTT,,,D,37,74,52.8,0.268,-4.1
Kuba,Filip,OTT,,,D,35,73,57.2,0.807,-1.6
Neil,Chris,OTT,,,RW,32,72,54.5,-0.353,-3.8
Gilroy*,Matt,OTT,TBL,53,D,27,67,51.3,-0.002,0
Daugavins,Kaspars,OTT,,,LW,23,65,49.1,0.1,-14.1
Butler,Bobby,OTT,,,RW/LW,24,56,56.1,-0.293,3.5
Konopka,Zenon,OTT,,,C,30,55,48.9,-0.755,-14.4
Turris*,Kyle,OTT,PHX,6,C,22,55,52,0.576,4.3
Winchester,Jesse,OTT,,,C,28,32,43.9,-0.323,-7.5
Carkner,Matt,OTT,,,D,31,29,49.2,-1.47,-4.5
O'Brien,Jim,OTT,,,C,22,28,58.3,-0.83,-6.3
Da Costa,Stephane,OTT,,,C/RW,22,22,69,-0.881,2
Klinkhammer,Rob,OTT,,,LW,26,15,51.4,-0.415,8.9
Regin,Peter,OTT,,,C,25,10,52,0.1,0.8
Filatov,Nikita,OTT,,,LW,21,9,52.6,-1.288,-7.7
Zibanejad,Mika,OTT,,,C,18,9,52.8,0.596,-16.6
Borowiecki,Mark,OTT,,,D,22,2,45.5,-3.248,18.9
Hoffman,Mike,OTT,,,C,22,1,80,0.597,37.5
Petersson,Andre,OTT,,,RW,21,1,100,-1.856,6.6
Carle,Matt,PHI,,,D,27,82,49.4,0.589,3.2
Hartnell,Scott,PHI,,,LW/RW,29,82,52.2,0.502,9.6
Simmonds,Wayne,PHI,,,RW,23,82,57.7,0.065,-3.5
Coburn,Braydon,PHI,,,D,26,81,50.2,1.079,-2
Talbot,Maxime,PHI,,,C,27,81,41.7,0.872,-2.1
Read,Matt,PHI,,,RW,25,79,50.5,0.292,-1.8
Voracek,Jakub,PHI,,,RW,22,78,53,0.667,7.4
Couturier,Sean,PHI,,,C,19,77,40.3,0.76,-3.4
Giroux,Claude,PHI,,,RW,23,77,48.1,0.805,6.9
Timonen,Kimmo,PHI,,,D,36,76,53.6,1.22,8.2
Grossmann*,Nicklas,PHI,DAL,52,D,26,74,43.9,0.525,-15.2
Jagr,Jaromir,PHI,,,RW,39,73,59.9,0.522,10
Briere,Danny,PHI,,,RW/C,34,70,57,0.365,-3.1
Kubina*,Pavel,PHI,TBL,52,D,34,69,46.6,0.47,-7
Rinaldo,Zac,PHI,,,C/LW,21,66,47.6,0.303,-11.3
Meszaros,Andrej,PHI,,,D,26,62,52,-0.04,-1.7
Schenn,Brayden,PHI,,,C,20,54,54.8,-0.232,-2.6
Lilja,Andreas,PHI,,,D,36,46,47.6,-0.96,-11.7
Bourdon,Marc-Andre,PHI,,,D,22,45,49,0.037,-3.2
van Riemsdyk,James,PHI,,,LW/RW,22,43,60.7,0.816,3.1
Zolnierczyk,Harry,PHI,,,LW,24,37,50,-0.043,-2.6
Gustafsson,Erik,PHI,,,D,23,30,55.6,-0.603,0.2
Shelley,Jody,PHI,,,LW,35,30,46.2,-1.515,-16.8
Wellwood,Eric,PHI,,,LW/C,21,24,45,-0.266,6.6
Sestito,Tom,PHI,,,LW,24,14,68.2,-0.972,-12.6
Pronger,Chris,PHI,,,D,37,13,49,0.963,9.4
Holmstrom,Ben,PHI,,,C/RW,24,5,47.6,-2.063,-24.7
Manning,Brandon,PHI,,,D,22,4,60.7,-0.119,33.5
Walker,Matt,PHI,,,D,31,4,46.2,-1.105,-20.7
Boedker,Mikkel,PHX,,,RW/LW,22,82,53.4,0.126,-6.8
Ekman-Larsson,Oliver,PHX,,,D,20,82,48.5,0.817,6.4
Korpikoski,Lauri,PHX,,,LW,25,82,43.5,0.617,-12.5
Vermette*,Antoine,PHX,CBJ,60,C/LW,29,82,47.9,0.398,8.3
Whitney,Ray,PHX,,,LW,39,82,54.2,1.131,12.7
Yandle,Keith,PHX,,,D,25,82,55,-0.073,8.1
Doan,Shane,PHX,,,RW/LW,35,79,52.7,0.756,5.8
Torres,Raffi,PHX,,,LW,30,79,54.8,-0.62,5.2
Vrbata,Radim,PHX,,,RW,30,77,52.8,1.263,10.7
Gordon,Boyd,PHX,,,C,28,75,39.8,0.869,-13.3
Langkow,Daymond,PHX,,,C,35,73,53.7,0.404,5.8
Pyatt,Taylor,PHX,,,LW,30,73,41.2,0.14,-9.3
Klesla,Rostislav,PHX,,,D,29,65,44.7,1.175,-11.8
Aucoin,Adrian,PHX,,,D,38,64,48.8,0.483,3.1
Hanzal,Martin,PHX,,,C,24,64,50.5,1.265,11.5
Morris,Derek,PHX,,,D,33,59,54.7,-0.281,-6.7
Rozsival,Michal,PHX,,,D,33,54,46.2,0.359,2.8
Chipchura,Kyle,PHX,,,C,25,53,48.3,-0.602,-1.1
Schlemko,David,PHX,,,D,24,46,46.8,1.192,-7.7
Brule,Gilbert,PHX,,,C,24,33,44.6,-1.046,2.2
Bissonnette,Paul,PHX,,,LW/D,26,31,55.8,-1.863,13.2
Rundblad*,David,PHX,OTT,24,D,21,30,61.1,-0.934,9.3
O'Sullivan,Patrick,PHX,,,C/RW,26,23,58,-0.673,-15.2
Summers,Chris,PHX,,,D,23,21,57.8,-0.954,-6.5
Stone,Michael,PHX,,,D,21,13,56.7,-0.52,-22.2
Pouliot,Marc-Antoine,PHX,,,C,26,13,48.4,-0.545,3.2
Miele,Andy,PHX,,,C,23,7,72,-1.661,-12.8
Bolduc,Alexandre,PHX,,,C,27,2,83.3,0.223,16.2
Watkins,Matt,PHX,,,RW,25,1,20,0.692,-34.8
Adams,Craig,PIT,,,RW,34,82,45.1,-0.374,-13
Cooke,Matt,PIT,,,LW/RW,33,82,48.1,0.757,-6.5
Dupuis,Pascal,PIT,,,RW/LW,32,82,51.7,1.114,-1.6
Kunitz,Chris,PIT,,,LW,32,82,62.1,0.467,14.7
Neal,James,PIT,,,LW,24,80,64.4,0.349,10.2
Sullivan,Steve,PIT,,,LW,37,79,62.8,0.512,3.9
Malkin,Evgeni,PIT,,,C,25,75,65.9,0.279,11.3
Niskanen,Matt,PIT,,,D,25,75,57.3,-0.064,7.7
Engelland,Deryk,PIT,,,D,29,73,55.5,0.048,-8.2
Martin,Paul,PIT,,,D,30,73,54.7,0.589,4.5
Orpik,Brooks,PIT,,,D,31,73,51.5,0.917,-8.9
Vitale,Joe,PIT,,,C,26,68,44.2,-0.198,-13.6
Asham,Arron,PIT,,,RW,33,64,49.3,-0.345,-12.3
Michalek,Zbynek,PIT,,,D,29,62,51.9,0.799,-7.4
Staal,Jordan,PIT,,,C,23,62,47.8,1.461,4.8
Kennedy,Tyler,PIT,,,C/LW,25,60,57.4,0.461,8.2
Park,Richard,PIT,,,RW/C,35,54,54.6,-0.053,-8.5
Letang,Kris,PIT,,,D,24,51,52.2,0.583,6.4
Lovejoy,Ben,PIT,,,D,27,34,58.7,-0.084,3.5
O'Reilly*,Cal,PIT,NSH, PHX,27,C,25,33,56.5,-0.669,-8.5
Jeffrey,Dustin,PIT,,,LW/C,23,26,50,-0.459,-1.3
Tangradi,Eric,PIT,,,LW/C,22,24,67.4,-0.74,-3.4
Crosby,Sidney,PIT,,,C,24,22,57.7,0.579,17.3
Despres,Simon,PIT,,,D,20,18,64.7,-0.845,3.3
Picard,Alexandre,PIT,,,D,26,17,69.2,-0.32,7.3
MacIntyre,Steve,PIT,,,LW,31,12,55.2,-1.76,-20.6
Strait,Brian,PIT,,,D,23,9,62.5,-0.101,-20.3
Williams,Jason,PIT,,,C/RW,31,8,71,-0.42,-16.6
Bortuzzo,Robert,PIT,,,D,22,6,62.5,-0.537,-9
McDonald,Colin,PIT,,,RW/C,27,5,33.3,-0.55,-9.5
Sneep,Carl,PIT,,,D,24,1,54.5,-0.775,29.5
Winnik*,Daniel,SJS,COL,63,LW/C,26,84,46.6,0.383,3.9
Marleau,Patrick,SJS,,,LW/C,32,82,54.5,1.497,8.1
Pavelski,Joe,SJS,,,RW/LW/C,27,82,48.6,1.633,11.1
Thornton,Joe,SJS,,,C,32,82,49.9,1.497,14.9
Vlasic,Marc-Edouard,SJS,,,D,24,82,47.4,1.085,2.1
Boyle,Dan,SJS,,,D,35,81,54.2,1.199,1.7
Burns,Brent,SJS,,,D,26,81,56.4,0.747,8
Couture,Logan,SJS,,,C,22,80,56.2,1.048,10.6
Moore*,Dominic,SJS,TBL,56,C,31,79,42.3,0.657,-6.4
Clowe,Ryane,SJS,,,LW,29,76,57.2,0.79,2.2
Desjardins,Andrew,SJS,,,C,25,76,49.4,-0.645,-2.3
Mitchell,Torrey,SJS,,,C,26,76,48.1,0.282,-7.7
Galiardi*,TJ,SJS,COL,55,LW,23,69,46.7,-0.042,-4.8
Handzus,Michal,SJS,,,C,34,67,46.8,-0.364,-20.5
Winchester,Brad,SJS,,,LW/RW,30,67,54.8,-1.286,-5.3
Braun,Justin,SJS,,,D,24,66,46.8,-0.312,8.3
Murray,Douglas,SJS,,,D,31,60,47.3,0.755,-16.2
Demers,Jason,SJS,,,D,23,57,55.2,-0.454,-7.9
White,Colin,SJS,,,D,34,54,49.7,-0.076,-5.6
Havlat,Martin,SJS,,,RW,30,39,55,0.51,0.4
Murray,Andrew,SJS,,,C,30,39,61.5,-1.864,-0.1
Ferriero,Benn,SJS,,,RW/C,24,35,49.8,0.301,-3.3
Wingels,Tommy,SJS,,,C,23,33,53.9,0.381,9
Vandermeer,Jim,SJS,,,D,31,25,53.1,-1.116,-7.1
McCarthy,John,SJS,,,LW,25,10,61.2,0.006,-10.2
McLaren,Frazer,SJS,,,LW,24,7,44.4,-1.446,-23.5
Backes,David,STL,,,C/RW,27,82,46,1.158,5.6
Berglund,Patrik,STL,,,C,23,82,48.6,0.717,-6.8
Jackman,Barret,STL,,,D,30,81,46.2,0.463,-2.3
Pietrangelo,Alex,STL,,,D,21,81,52.8,0.721,7.8
Shattenkirk,Kevin,STL,,,D,22,81,54.4,0.013,4.4
Nichol,Scott,STL,,,C,37,80,48,-1.22,-4.3
Oshie,T.J.,STL,,,RW/LW/C,25,80,45.9,1.094,1
Stewart,Chris,STL,,,RW,24,79,57.5,0.299,-9.7
Polak,Roman,STL,,,D,25,77,49.6,0.07,-11.2
Sobotka,Vladimir,STL,,,LW/C,24,73,48.8,0.585,0.1
Arnott,Jason,STL,,,C,37,72,60.3,-0.634,3.9
Langenbrunner,Jamie,STL,,,RW,36,70,55.4,0.011,7.6
Colaiacovo,Carlo,STL,,,D,28,64,50,0.792,3.6
Reaves,Ryan,STL,,,RW,24,60,62,-1.382,-0.5
Perron,David,STL,,,LW/RW,23,57,47.3,0.827,-3.7
D'Agostini,Matt,STL,,,RW,25,55,54.8,-0.011,2.4
Russell*,Kris,STL,CBJ,12,D,24,55,55.9,-0.672,-1.6
Porter,Chris,STL,,,LW/C,27,47,65,-0.858,-1.2
Steen,Alexander,STL,,,LW/C,27,43,52.6,0.64,21.7
Crombeen,B.J.,STL,,,RW,26,40,51.7,-0.741,-0.6
Cole,Ian,STL,,,D,22,26,54.8,-0.295,0.3
Grachev,Evgeny,STL,,,C,21,26,62.6,-1.036,-13.8
Huskins,Kent,STL,,,D,32,25,55.1,-0.007,1.4
McDonald,Andy,STL,,,LW/C,34,25,51.2,0.538,8.1
Schwartz,Jaden,STL,,,LW/C,19,7,52.6,0.898,-17.9
Fairchild,Cade,STL,,,D,22,5,69.2,-2.479,2.4
Sterling,Brett,STL,,,LW,27,4,84.6,-1.639,22.6
Cracknell,Adam,STL,,,RW,26,2,44.4,-1.583,1.6
Brewer,Eric,TBL,,,D,32,82,33.6,1.269,-7.8
Clark,Brett,TBL,,,D,35,82,45.7,0.432,-7.5
Stamkos,Steven,TBL,,,C,21,82,54.7,0.248,7.6
Purcell,Teddy,TBL,,,RW/C,26,81,56.6,0.385,8.3
St Louis,Martin,TBL,,,RW,36,77,53.8,0.13,0.9
Pyatt,Tom,TBL,,,C,24,74,35,0.898,-11.6
Connolly,Brett,TBL,,,RW/C,19,68,49.4,0.356,-0.1
Malone,Ryan,TBL,,,LW,32,68,48.7,0.78,-0.4
Thompson,Nate,TBL,,,C,27,68,34.2,1.254,-9.5
Lecavalier,Vincent,TBL,,,C,31,64,54.3,0.383,3.6
Hedman,Victor,TBL,,,D,21,61,37.3,1.058,1.8
Hall,Adam,TBL,,,RW/LW,31,57,34,1.132,-9.4
Lee*,Brian,TBL,OTT,35,D,24,55,51.3,-0.464,-3
Gervais,Bruno,TBL,,,D,27,50,59.9,-0.39,11.3
Wallace*,Tim,TBL,NYI,31,RW,27,49,41.3,0.107,-2.3
Shannon,Ryan,TBL,,,RW,28,45,43.6,0.664,7
Bergeron,Marc-Andre,TBL,,,D,31,43,71.2,-0.049,13.3
Mikkelson,Brendan,TBL,,,D,24,41,58.9,-0.485,4.2
Wyman,JT,TBL,,,RW/C,25,40,30.3,1.169,-8.2
Aulie*,Keith,TBL,TOR,17,D,22,36,44.9,0.801,-10.6
Commodore*,Mike,TBL,DET,17,D,32,30,43.5,-0.482,0.3
Tyrell,Dana,TBL,,,C,22,26,37.7,0.523,-10.6
Smith,Trevor,TBL,,,C/LW,26,16,29.8,0.595,0.9
Labrie,Pierre-Cedric,TBL,,,LW,25,14,37.9,-0.204,19.1
Segal,Brandon,TBL,,,RW/C,28,10,33.3,0.246,14.5
Angelidis,Mike,TBL,,,LW/C,26,6,33.3,-1.537,17.4
Ritola,Mattias,TBL,,,C,24,5,50,-0.661,-2.2
Brown,J.T.,TBL,,,RW/LW,21,5,43.2,2.283,17.3
Oberg,Evan,TBL,,,D,23,3,60,0.342,32.6
Kessel,Phil,TOR,,,RW/LW,24,82,54.3,0.337,3.2
Phaneuf,Dion,TOR,,,D,26,82,50,1.399,3.3
Schenn,Luke,TOR,,,D,22,79,50.7,-0.154,-7.6
Gunnarsson,Carl,TOR,,,D,25,76,45.4,1.145,-0.9
Steckel,David,TOR,,,C,29,76,38,0.379,-3.5
Gardiner,Jake,TOR,,,D,21,75,56,-0.328,2.6
