NAME,POS,TEAM,GP,TOI60,TOFF60,RELPM,PMQoC,PMQoT,CorsiQoC,CorsiRelQoC,CorsiQoT,CorsiRelQoT,G60,A160,A260,PTS60,GFON,GAON,GFON60,GAON60,GFOFF60,CORSION,CORSIREL,CORSION,CORSIOFF,SVPCTF,SVPCTA,PDO,GFON60,GAON60,SOGF60,SOGA60,MF60,MA60,PIMFON60,PIMAON60,PIMFOFF60,PIMAOFF60,PTAKE60,PDRAW60,BFON60,BAON60,GFOFF60,GAOFF60,SOGFOFF60,SOGAOFF60,MFOFF60,MAOFF60,BFOFF60,BAOFF60,PFO,PAO,PFD,PAD,PFN,PAN,FD,FinPFO,FinPFD,FinPFN,FinFD
CHRISNEIL,RW,OTT,80,12.25,35.48,-0.18,-0.042,-0.069,-0.224,-0.225,0.986,0.787,0.37,0.31,0.31,0.98,30,44,1.84,2.69,2.09,2.77,-1.1,-0.55,0.55,6.76,902,970,1.84,2.69,25.3,24.8,11.4,11.6,5,3.7,3.6,3.4,1.3,1,14.4,14.5,2.09,2.77,27.8,27.1,10.8,11,12.7,13.5,141,137,146,126,173,142,50.5,342,301,315,53.2
PETERREGIN,C ,OTT,55,11.97,35.44,0.62,-0.053,0.098,0.033,0.003,-0.138,0.699,0.27,0.55,0.46,1.28,24,29,2.19,2.64,1.94,3.02,8.4,7.29,-1.11,6.7,909,976,2.19,2.64,30.4,26.5,11,10,3.6,3.2,4.2,3.9,0.5,1,11.2,14,1.94,3.02,26,25.7,10.7,11.3,13.5,13.7,93,97,83,81,113,118,53.7,211,230,195,47.8
ZACKSMITH,C ,OTT,55,11.08,36.67,-0.28,-0.058,-0.06,-0.346,-0.187,1.457,0.812,0.39,0.2,0.3,0.89,14,25,1.38,2.46,2.32,3.12,4.8,3.15,-1.67,4.9,914,963,1.38,2.46,26.8,26.2,11.2,9.3,4.8,4.6,3.5,3.4,2,0.6,13.5,15.3,2.32,3.12,27.9,26.8,10.7,11.4,14.2,12.9,101,78,94,58,101,93,54.1,224,180,175,55.4
COLINGREENING,C ,OTT,24,13.29,35.08,1.35,-0.06,-0.234,-0.084,1.031,1.759,0.424,1.13,0.56,0.75,2.45,17,14,3.2,2.63,1.64,2.42,9,0.56,-8.41,9.19,922,1014,3.2,2.63,31.6,31,10.9,11.3,3.4,3.4,3.7,3.1,0.6,0.9,12.4,12.2,1.64,2.42,24.7,29.6,10.6,11.3,14.6,12.7,48,36,54,42,62,49,46.7,108,97,107,52.7
RYANSHANNON,RW,OTT,79,10.28,37.5,0.99,-0.078,-0.003,-0.653,-0.364,1.341,0.606,0.37,0.44,0.37,1.18,25,24,1.85,1.77,2.09,3,12,9.31,-2.73,5.72,931,988,1.85,1.77,30.4,23.9,10.7,9.4,3.8,3.2,3.9,3.5,0.7,0.7,12.1,13.5,2.09,3,26.6,27.6,10.9,11.6,13.6,13.5,113,139,84,74,141,153,61.5,331,233,247,58.7
DAVIDHALE,D ,OTT,25,14.64,33.78,1.18,-0.079,-0.051,-0.491,-0.196,2.831,1.654,0.16,0.16,0.49,0.82,16,11,2.62,1.8,2.2,2.56,3.1,-0.98,-4.12,9.25,939,1032,2.62,1.8,25.7,27.9,10.2,11,5.4,1.8,3.6,3.6,0.5,0,11.3,12.5,2.2,2.56,27.1,28,11.2,11.7,15.5,13.2,50,46,54,33,57,54,52.5,126,103,103,55
JESSEWINCHESTER,C ,OTT,72,9.61,38.57,0,-0.085,0.036,-0.888,-0.553,1.397,0.937,0.35,0.61,0.17,1.13,19,28,1.65,2.43,2.07,2.85,10.2,8.5,-1.69,5.59,908,964,1.65,2.43,27.8,23.9,12,9.1,4.5,3.6,3.7,3.1,1,1.5,12,14.5,2.07,2.85,27.4,27.5,10.7,11.4,13.5,13.5,110,78,112,84,105,100,49,257,229,191,52.9
MATTCARKNER,D ,OTT,50,12.75,34.46,1.11,-0.094,0.107,-1.211,-1.068,0.848,1.069,0.09,0.19,0.28,0.56,22,22,2.07,2.07,1.95,3.06,6.8,4.99,-1.78,7.07,921,992,2.07,2.07,27.2,24.2,11.5,9.7,5.6,4.6,3.6,3.3,1.6,0.3,12.5,12.7,1.95,3.06,26.9,27.2,10.3,11.8,13.1,14.2,75,88,85,78,121,101,50,255,211,186,54.7
DEREKSMITH,D ,OTT,9,14.23,34.36,2.38,-0.099,0.038,-0.385,0.641,2.969,1.134,0,0.47,0,0.47,4,1,1.87,0.47,1.75,2.72,20.5,14.52,-6.01,6.06,981,1041,1.87,0.47,29,23.9,11.2,8,3.3,3.7,3.1,3.1,0,0.9,11.7,16.4,1.75,2.72,28.1,31.4,10.9,10.3,14.4,12,23,23,9,7,10,12,74.2,43,29,24,59.7
PATRICKWIERCIOCH,D ,OTT,8,12.67,35.3,0,-0.128,-0.084,-1.035,-1.605,3.03,0.764,0,0,0.59,0.59,8,8,4.73,4.73,2.12,2.12,5.4,1.78,-3.61,17.39,837,1011,4.73,4.73,22.5,24.3,11.2,11.8,6.5,3.6,3.6,2.3,1.2,0,8.9,13,2.12,2.12,28,28,11.9,13.6,13.6,11.7,17,13,12,7,17,20,61.2,31,40,41,43.7
COREYLOCKE,C ,OTT,5,8.21,40.69,-1.46,-0.213,-0.306,-0.254,-1.267,0.976,0.217,0,1.46,0,1.46,1,2,1.46,2.92,2.95,2.95,-21,-23.38,-2.36,6.67,926,993,1.46,2.92,20.5,36.5,4.4,11.7,1.5,1.5,4.1,4.4,0,0,10.2,11.7,2.95,2.95,32.4,26.5,9.7,8.8,19.8,10.6,3,14,1,2,5,11,85,15,12,14,55.6
